Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	47
Limite threshold :;	150
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	150
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	77
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	74
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	48
Limite threshold :;	151
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	45
Limite threshold :;	151
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	151
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	74
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	50
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	77
Limite threshold :;	152
Nb d'erosions    :;	1
Size d'erosions  :;	3
